X,Y,Loc,DaysOver35,DaysOver40,Lat,Long
-111462.549060199,3787348.50695335,Gulmarg,"0","0",34.04837,74.38047
-72663.5160608331,3788845.22133989,Srinagar,"0","0",34.083671,74.797283
-41695.0278473401,3732287.51296232,Qazi Gund,"0","0",33.592697,75.165839
-40053.9371170566,3714844.84376558,Banihal,"0","0",33.437013,75.193935
-76075.4549903086,3637713.56108749,Jammu,"16","3",32.726602,74.857026
59111.241114741,3574321.52779034,Dharmsala,"0","0",32.219042,76.323404
140885.751812988,3573768.97156431,Manali,"0","0",32.243187,77.189176
-81586.5298040309,3516216.49913444,Amritsar,"21","12",31.633979,74.872264
50511.7369110195,3491218.9927291,Una,"20","10",31.468465,76.270815
112595.170083882,3502139.29889088,Mandi,"8","0",31.589201,76.91821
109567.532485606,3495663.28063842,Sundernagar,"3","0",31.5299,76.888941
135349.789377365,3534311.24303784,Bhuntar,"3","0",31.886237,77.145491
134962.623083469,3447521.32905902,Shimla,"0","0",31.104815,77.173403
8223.71644644323,3429979.82700266,Ludhiana,"23","12",30.900965,75.857276
56362.4750070205,3365470.43394826,Patiala,"23","13",30.339781,76.38688
94554.2811646695,3367916.71625837,Ambala,"22","10",30.375201,76.782122
144741.941649274,3386839.729958,Nahan,"5","0",30.561413,77.296798
95784.9053443786,3407664.10514806,Chandigarh,"22","6",30.733315,76.779418
214611.39529097,3357589.45226996,Dehradun,"13","0",30.316495,78.032192
253261.552916682,3363009.90867792,Tehri,"0","0",30.373861,78.432481
-188227.828100682,3330135.76042154,Ganganagar,"24","13",29.909376,73.879981
-13755.0234543235,3236062.14858921,Hissar,"25","15",29.149188,75.721653
111916.090551716,3290690.23608945,Karnal,"12","5",29.685693,76.990483
179062.574789677,3210737.16776691,Meerut,"21","6",28.984462,77.706414
242813.599629796,3278777.437116,Najibabad,"15","0",29.61234,78.344164
369655.52603171,3259749.47059378,Mukteshwar Kumaon,"0","0",29.460415,79.655824
353031.08763341,3211379.26263794,Pantnagar,"15","0",29.022154,79.490849
-257027.600385277,3123698.43092852,Bikaner,"25","18",28.022935,73.311916
-91810.0249104056,3144402.7242632,Churu,"22","17",28.292536,74.970726
-28598.2082094797,3151163.80243426,Pilani,"19","10",28.38021,75.60917
71429.2165789299,3204359.4300741,Rohtak,"18","9",28.895515,76.606611
18864.8611947298,3114502.19088283,Narnaul,"23","11",28.068765,76.106789
117392.236658449,3168825.14037262,New Delhi / Palam,"23","11",28.590064,77.088783
282756.99346216,3192146.20432489,Moradabad,"15","2",28.838648,78.773329
346192.132163802,3138863.0140139,Bareilly,"22","3",28.367036,79.430438
1915770.20020248,3188595.6862725,Pasighat,"2","0",28.063174,95.32392
-358238.596643981,3030631.19366151,Phalodi,"23","18",27.131235,72.358928
-78833.907800108,3067683.5859432,Sikar,"16","8",27.609391,75.139794
68781.8690636569,3055294.91621729,Alwar,"17","9",27.552991,76.634574
213345.483473499,3089246.47473376,Aligarh,"25","11",27.897394,78.088013
393167.052165093,3083866.36876326,Shahjahanpur,"22","10",27.87534,79.914727
413496.06023093,3030657.21845091,Hardoi,"23","12",27.396507,80.125048
558996.08117626,3049770.01853334,Bahraich,"22","4",27.570515,81.597667
1241932.76865253,3015091.71592426,Kalimpong,"0","0",27.059356,88.469454
1254470.705411,3046241.18885654,Gangtok,"0","0",27.331351,88.613811
1804277.11790783,3080421.01935937,North Lakhimpur,"2","0",27.225319,94.105331
1882354.36521004,3116979.34994036,Dibrugarh / Mohanbari,"1","0",27.470545,94.912462
-505072.178088689,3017445.4630135,Jaisalmer,"27","23",26.915749,70.908344
-298146.01708124,2926811.70772697,Jodhpur,"26","15",26.238947,73.024309
-134849.771472308,2941245.45500983,Ajmer,"22","11",26.449895,74.639916
-18006.4562758465,2987421.58136726,Jaipur / Sanganer,"21","13",26.912434,75.787271
217941.14136889,2902276.87175344,Gwalior,"26","17",26.212401,78.177205
433391.350400015,2925684.51015484,Kanpur / Chakeri,"23","9",26.449923,80.331874
488476.392116928,2960673.56456557,Lucknow / Amausi,"23","14",26.767357,80.88409
537792.950569135,2903284.45629441,Fursatganj,"24","16",26.248727,81.378435
735991.354394222,2962116.36718022,Gorakhpur,"22","11",26.760555,83.373168
888733.300321268,2952934.26699584,Motihari,"18","3",26.643848,84.904034
939258.169664992,2896355.37496606,Muzaffarpur,"15","0",26.119661,85.390982
989289.388225602,2901983.01465739,Darbhanga,"16","2",26.154205,85.891845
1060850.60875733,2901449.90739962,Supaul,"12","0",26.123372,86.604513
1126517.69403282,2923977.85971644,Forbesganj,"14","3",26.298605,87.268613
1236712.85672133,2977670.79799569,Siliguri,"12","1",26.727101,88.395286
1270522.39018125,2956704.96876428,Jalpaiguri,"9","0",26.521458,88.719557
