FIPS,NumBlds,BldsSFHA,BldsPctSFHA,Place,Policies,PctPolicies,PctDiff,Var1Class,Var2Class,VarClass
13317,7312,6,0.082056893,WILKES COUNTY GEORGIA,2,0.027352298,-0.054704595,B,3,B3
13125,2086,10,0.479386385,GLASCOCK COUNTY GEORGIA,2,0.095877277,-0.383509108,B,3,B3
13301,3840,10,0.260416667,WARREN COUNTY GEORGIA,2,0.052083333,-0.208333334,B,3,B3
13053,3744,15,0.400641026,CHATTAHOOCHEE COUNTY GEORGIA,2,0.053418803,-0.347222223,B,3,B3
13243,5263,16,0.30400912,RANDOLPH COUNTY GEORGIA,1,0.01900057,-0.28500855,B,3,B3
13197,4934,21,0.42561816,MARION COUNTY GEORGIA,1,0.020267531,-0.405350629,B,3,B3
35028,7895,26,0.329322356,LOS ALAMOS COUNTY NEW MEXICO,25,0.316656111,-0.012666245,B,3,B3
45005,5540,28,0.505415162,ALLENDALE COUNTY SOUTH CAROLINA,4,0.072202166,-0.433212996,B,3,B3
13231,10265,29,0.282513395,PIKE COUNTY GEORGIA,7,0.068192888,-0.214320507,B,3,B3
13283,3993,30,0.751314801,TREUTLEN COUNTY GEORGIA,1,0.025043827,-0.726270974,B,3,B3
47023,9186,31,0.337470063,CHESTER COUNTY TENNESSEE,9,0.09797518,-0.239494883,B,3,B3
27129,16151,33,0.204321714,RENVILLE COUNTY MINNESOTA,6,0.037149403,-0.167172311,B,3,B3
13273,6468,34,0.525664811,TERRELL COUNTY GEORGIA,12,0.185528757,-0.340136054,B,3,B3
46003,5743,35,0.609437576,AURORA COUNTY SOUTH DAKOTA,3,0.052237507,-0.557200069,B,3,B3
45087,18296,35,0.191298645,UNION COUNTY SOUTH CAROLINA,1,0.005465676,-0.185832969,B,3,B3
17009,3569,38,1.064724012,BROWN COUNTY ILLINOIS,4,0.112076212,-0.9526478,B,3,B3
38079,6724,38,0.565139798,ROLETTE COUNTY NORTH DAKOTA,6,0.0892326,-0.475907198,B,3,B3
13221,9971,38,0.381105205,OGLETHORPE COUNTY GEORGIA,10,0.100290843,-0.280814362,B,3,B3
13101,2177,40,1.837390905,ECHOLS COUNTY GEORGIA,4,0.18373909,-1.653651815,B,3,B3
13167,5785,40,0.691443388,JOHNSON COUNTY GEORGIA,3,0.051858254,-0.639585134,B,3,B3
37007,16251,42,0.258445634,ANSON COUNTY NORTH CAROLINA,6,0.036920805,-0.221524829,B,3,B3
38085,3068,43,1.401564537,SIOUX COUNTY NORTH DAKOTA,2,0.065189048,-1.336375489,B,3,B3
13289,5354,43,0.803137841,TWIGGS COUNTY GEORGIA,3,0.056032873,-0.747104968,B,3,B3
